_time,_raw
2021-09-27T13:22:35.838+08:00,"{""_raw"":""{\""input\"":{\""type\"":\""log\""},\""agent\"":{\""hostname\"":\""zabbix\"",\""id\"":\""e22d9f77-f4e0-4626-b15f-8db4e15b7fd1\"",\""type\"":\""filebeat\"",\""version\"":\""7.4.0\"",\""ephemeral_id\"":\""c902e9c6-1fbf-488e-b434-64164b02ba3b\""},\""ecs\"":{\""version\"":\""1.1.0\""},\""log\"":{\""offset\"":499398,\""file\"":{\""path\"":\""/tmp/dump/problems-history-syncer-1.ndjson\""}},\""host\"":{\""name\"":\""zabbix\""},\""message\"":\""{\\\""clock\\\"":1632342326,\\\""ns\\\"":576795244,\\\""value\\\"":0,\\\""eventid\\\"":966880,\\\""p_eventid\\\"":963400}\"",\""tags\"":[\""beats_input_codec_plain_applied\""]}""}"
2021-09-27T13:22:35.837+08:00,"{""_raw"":""{\""input\"":{\""type\"":\""log\""},\""agent\"":{\""hostname\"":\""zabbix\"",\""id\"":\""e22d9f77-f4e0-4626-b15f-8db4e15b7fd1\"",\""type\"":\""filebeat\"",\""version\"":\""7.4.0\"",\""ephemeral_id\"":\""c902e9c6-1fbf-488e-b434-64164b02ba3b\""},\""ecs\"":{\""version\"":\""1.1.0\""},\""log\"":{\""offset\"":534526,\""file\"":{\""path\"":\""/tmp/dump/problems-history-syncer-1.ndjson\""}},\""host\"":{\""name\"":\""zabbix\""},\""message\"":\""{\\\""clock\\\"":1632660403,\\\""ns\\\"":199759578,\\\""value\\\"":0,\\\""eventid\\\"":984699,\\\""p_eventid\\\"":984339}\"",\""tags\"":[\""beats_input_codec_plain_applied\""]}""}"
2021-09-27T13:22:35.837+08:00,"{""_raw"":""{\""input\"":{\""type\"":\""log\""},\""agent\"":{\""hostname\"":\""zabbix\"",\""id\"":\""e22d9f77-f4e0-4626-b15f-8db4e15b7fd1\"",\""type\"":\""filebeat\"",\""version\"":\""7.4.0\"",\""ephemeral_id\"":\""c902e9c6-1fbf-488e-b434-64164b02ba3b\""},\""ecs\"":{\""version\"":\""1.1.0\""},\""log\"":{\""offset\"":524461,\""file\"":{\""path\"":\""/tmp/dump/problems-history-syncer-1.ndjson\""}},\""host\"":{\""name\"":\""zabbix\""},\""message\"":\""{\\\""clock\\\"":1632559867,\\\""ns\\\"":255671809,\\\""value\\\"":0,\\\""eventid\\\"":981192,\\\""p_eventid\\\"":981091}\"",\""tags\"":[\""beats_input_codec_plain_applied\""]}""}"
2021-09-16T11:37:58.441+0800,"{""input"":{""type"":""log""},""agent"":{""id"":""d9275f2b-f0e5-4282-ac68-4ed47f128130"",""version"":""7.4.0"",""type"":""filebeat"",""hostname"":""zabbix"",""ephemeral_id"":""17825592-9daa-4a4a-a0a8-0334f88eafdf""},""ecs"":{""version"":""1.1.0""},""log"":{""file"":{""path"":""/var/log/mariadb/mariadb-general.log""},""flags"":[""multiline""],""offset"":478077133},""host"":{""name"":""zabbix""},""message"":""210916 11:40:36\t    16 Query\tbegin\n\t\t    16 Query\tselect a.alertid,a.mediatypeid,a.sendto,a.subject,a.message,a.status,a.retries,e.source,e.object,e.objectid,a.parameters,a.eventid,a.p_eventid from alerts a left join events e on a.eventid=e.eventid where alerttype=0 and a.status=3 order by a.alertid\n\t\t    16 Query\tcommit\n\t\t    13 Query\tbegin\n\t\t    13 Query\tinsert into history (itemid,clock,ns,value) values (35874,1631763634,250814192,0),(35875,1631763634,250814192,0.0012900000000000001),(37056,1631763636,701085243,190.01748754458006),(46356,1631763636,704344591,7.7043559999999998),(23256,1631763636,709183840,0.084645336041984084),(28536,1631763636,713914619,0),(45396,1631763636,715221559,7.1252459999999997),(45996,1631763636,717468493,14.758229),(43416,1631763636,730301175,0.092974000000000001),(46416,1631763636,769915393,358.98749988793827),(40596,1631763636,776204696,14.757073)\n\t\t    13 Query\tinsert into history_uint (itemid,clock,ns,value) values (35873,1631763634,250814192,1),(46116,1631763636,709044210,156979200),(46236,1631763636,712362355,1036134645760),(34476,1631763636,712622675,63640),(45936,1631763636,713846661,14254817280),(46296,1631763636,718659517,47217381376),(45576,1631763636,742323503,2),(41916,1631763636,742451740,0),(42396,1631763636,769050242,0),(41976,1631763636,769641151,0),(42096,1631763636,778074212,0),(42036,1631763636,778641454,6012534784),(34416,1631763636,779690429,1),(34716,1631763636,780894603,0)\n\t\t    13 Query\tcommit\n\t\t    13 Query\tbegin\n\t\t    13 Query\tcommit\n\t\t    13 Query\tbegin\n\t\t    13 Query\tcommit\n\t\t    13 Query\tselect distinct hg.hostid,g.name from hstgrp g,hosts_groups hg where g.groupid=hg.groupid and hg.hostid in (10084,10403,10427,10435,10489,10510,10512,10513,10531,10554,10555,10556,10558,10561,10562)\n\t\t    13 Query\tselect itemid,name from items where itemid in (23256,28536,34416,34476,34716,35873,35874,35875,37056,40596,41916,41976,42036,42096,42396,43416,45396,45576,45936,45996,46116,46236,46296,46356,46416)\n\t\t    13 Query\tselect i.itemid,a.name from applications a,items_applications i where a.applicationid=i.applicationid and i.itemid in (23256,28536,34416,34476,34716,35873,35874,35875,37056,40596,41916,41976,42036,42096,42396,43416,45396,45576,45936,45996,46116,46236,46296,46356,46416)\n\t\t    22 Query\tbegin\n\t\t    22 Query\tinsert into history_uint (itemid,clock,ns,value) values (45006,1631763636,935976358,0)\n\t\t    22 Query\tcommit"",""tags"":[""beats_input_codec_plain_applied""]}"
